,nombre_programa,precio_matric,precio_aran,precio_ins,IES,url,fecha_consulta
0,Tecnología en Planificación y Gestión de Transporte Terrestre,"Cancelar $80,00 (cada nivel).","Cuotas $125.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_planifica_transporte,2024-05-06 13:04:58.124569
1,Tecnología Superior en Agroecología,"Cancelar $90,00 (cada nivel).","Cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez).",itb,https://itb.edu.ec/Tec_Superior_Agroecologia,2024-05-06 13:04:59.538334
2,Tecnología Superior en Asistencia en Farmacia,Cancelar $90.00 (cada nivel).,"cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_Farmacia,2024-05-06 13:05:00.823630
3,Tecnología Superior en Emergencias Médicas,"Cancelar $90,00 (cada nivel).","cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Emergencias_Medicas,2024-05-06 13:05:05.336733
4,Tecnología Superior en Gastronomía,Cancelar $90.00 (cada nivel).,"cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_Gastronomia,2024-05-06 13:05:06.697270
5,Tecnología Superior en Imagenología y Radiología,"Cancelar $90,00 (cada nivel).","cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_imagenologia_radiologia,2024-05-06 13:05:08.047892
6,Tecnología Superior en Laboratorio Clínico,Cancelar $100.00 (cada nivel).,"cuotas de $200.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer y cuarto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_laboratorio_clinico,2024-05-06 13:05:09.475865
7,Tecnología Superior en Mecánica Automotriz,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Mecanica_automotriz,2024-05-06 13:05:11.912282
8,Tecnología Superior en Optometría,Cancelar $90.00 (cada nivel).,"Cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Optometria,2024-05-06 13:05:13.249135
9,Tecnología Superior en Podología,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_podologia,2024-05-06 13:05:14.656946
10,Tecnología Superior Universitaria en Auditoría,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Auditoria,2024-05-06 13:05:20.605251
11,Tecnología Superior Universitaria en Contabilidad,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Contabilidad,2024-05-06 13:05:21.941533
12,Tecnología Superior Universitaria en Desarrollo de Software,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Desarrollo_Software,2024-05-06 13:05:23.351020
13,Tecnología Superior Universitaria en Gerontología,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Gerontologia,2024-05-06 13:05:25.195725
14,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_superior_universitario_gestion_empresarial,2024-05-06 13:05:29.497827
15,Tecnología Superior en Podología,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_podologia,2024-05-06 13:05:33.934480
16,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_Superior_Universitaria_Auditoria,2024-05-06 13:05:38.010435
17,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_Superior_Universitaria_Contabilidad,2024-05-06 13:05:39.092440
18,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_Superior_Universitaria_Desarrollo_Software,2024-05-06 13:05:40.074178
19,Tecnología en Planificación y Gestión de Transporte Terrestre,"Cancelar $80,00 (cada nivel).","Cuotas $125.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_planifica_transporte,2024-05-06 13:05:42.507450
20,Tecnología Superior en Agroecología,"Cancelar $90,00 (cada nivel).","Cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez).",itb,https://itb.edu.ec/Tec_Superior_Agroecologia,2024-05-06 13:05:43.840208
21,Tecnología Superior en Asistencia en Farmacia,Cancelar $90.00 (cada nivel).,"cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_Farmacia,2024-05-06 13:05:45.308134
22,Tecnología Superior en Emergencias Médicas,"Cancelar $90,00 (cada nivel).","cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Emergencias_Medicas,2024-05-06 13:05:48.653751
23,Tecnología Superior en Gastronomía,Cancelar $90.00 (cada nivel).,"cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_Gastronomia,2024-05-06 13:05:53.053696
24,Tecnología Superior en Imagenología y Radiología,"Cancelar $90,00 (cada nivel).","cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_imagenologia_radiologia,2024-05-06 13:05:54.505499
25,Tecnología Superior en Laboratorio Clínico,Cancelar $100.00 (cada nivel).,"cuotas de $200.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer y cuarto nivel.","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Superior_laboratorio_clinico,2024-05-06 13:05:55.886277
26,Tecnología Superior en Mecánica Automotriz,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Mecanica_automotriz,2024-05-06 13:06:00.401533
27,Tecnología Superior en Optometría,Cancelar $90.00 (cada nivel).,"Cuotas de $180.00, 6 cuotas en el primer nivel, 5 cuotas en el segundo, tercer, cuarto y quinto nivel","Cancelar $80,00 (se cancela una sola vez durante toda la carrera).",itb,https://itb.edu.ec/Tec_Optometria,2024-05-06 13:06:01.826325
28,Tecnología Superior en Podología,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_podologia,2024-05-06 13:06:03.128207
29,Tecnología Superior Universitaria en Auditoría,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Auditoria,2024-05-06 13:06:06.996004
30,Tecnología Superior Universitaria en Contabilidad,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Contabilidad,2024-05-06 13:06:08.376609
31,Tecnología Superior Universitaria en Desarrollo de Software,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Desarrollo_Software,2024-05-06 13:06:09.838864
32,Tecnología Superior Universitaria en Gerontología,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_Superior_Universitaria_Gerontologia,2024-05-06 13:06:11.265753
33,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_superior_universitario_gestion_empresarial,2024-05-06 13:06:15.367211
34,Tecnología Superior en Podología,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://itb.edu.ec/Tec_podologia,2024-05-06 13:06:19.801615
35,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_Superior_Universitaria_Auditoria,2024-05-06 13:06:21.828925
36,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_Superior_Universitaria_Contabilidad,2024-05-06 13:06:22.887369
37,,['no hay precio :('],['no hay precio :('],['no hay precio :('],itb,https://online.itb.edu.ec/Tec_Superior_Universitaria_Desarrollo_Software,2024-05-06 13:06:23.861397
